Chromosome	Physical_Position_Build36(hg18)	Genetic_Map(cM)
chr10	9791314	22.80087873
chr10	9792490	22.80097162
chr10	9794074	22.80104704
chr10	9801744	22.80140084
chr10	9803712	22.8015374
chr10	9804390	22.8015845
chr10	9806305	22.80168679
chr10	9809263	22.80185563
chr10	9813739	22.80207309
chr10	9816172	22.80218616
chr10	9820168	22.8023442
chr10	9821810	22.80239015
chr10	9824426	22.8024633
chr10	9826027	22.80251274
chr10	9835659	22.80291026
chr10	9835839	22.80291118
chr10	9836744	22.80294763
chr10	9841101	22.8031374
chr10	9841175	22.80314026
chr10	9847133	22.80337185
chr10	9847284	22.80337195
chr10	9847838	22.80339407
chr10	9848668	22.80342794
chr10	9851708	22.80352845
chr10	9853549	22.80359167
chr10	9859577	22.80385695
chr10	9863600	22.80404594
chr10	9865210	22.80419412
chr10	9866659	22.8043628
chr10	9866951	22.80439719
chr10	9869812	22.80473312
chr10	9870762	22.80483419
chr10	9876777	22.80553523
chr10	9878497	22.8057705
chr10	9884970	22.80622588
chr10	9886805	22.80634306
chr10	9888079	22.80642002
chr10	9890229	22.80655048
chr10	9890305	22.80655525
chr10	9893752	22.80679258
chr10	9894021	22.80680921
chr10	9906737	22.80781576
chr10	9910686	22.8081211
chr10	9910875	22.80813627
chr10	9918355	22.80862831
chr10	9926686	22.80917975
chr10	9931504	22.80956474
chr10	9937990	22.81000083
chr10	9941001	22.81016861
chr10	9948681	22.81066016
chr10	9949747	22.81072614
chr10	9950304	22.81076302
chr10	9950500	22.81077436
chr10	9957451	22.81113724
chr10	9961331	22.81142211
chr10	9961549	22.81144669
chr10	9971030	22.81246845
chr10	9971862	22.81253165
chr10	9972754	22.81260399
chr10	9973997	22.81269713
chr10	9974150	22.81269833
chr10	9976639	22.8128224
chr10	9978986	22.81294247
chr10	9984816	22.81358079
chr10	9986664	22.81376165
chr10	9986957	22.81379055
chr10	9991768	22.81425319
chr10	9994574	22.81444952
chr10	9995903	22.81458058
chr10	9996206	22.8146077
chr10	9997784	22.81474455
chr10	10000897	22.81503171
chr10	10002515	22.8160214
chr10	10002537	22.81602273
chr10	10002559	22.81602274
chr10	10002621	22.81602277
chr10	10002710	22.81602282
chr10	10003125	22.81658821
chr10	10003207	22.81665677
chr10	10003640	22.81750535
chr10	10003736	22.81750544
chr10	10003841	22.81751533
chr10	10003862	22.81753118
chr10	10004257	22.84808689
chr10	10004457	22.87262102
chr10	10004577	22.87281074
chr10	10004714	22.87285974
chr10	10007525	22.87576363
chr10	10011356	22.88030608
chr10	10015749	22.88511255
chr10	10016072	22.88544688
chr10	10017043	22.88608761
chr10	10019618	22.8876658
chr10	10024888	22.89068322
chr10	10027038	22.89203394
chr10	10027136	22.89205801
chr10	10028305	22.89266819
chr10	10029425	22.89317745
chr10	10033271	22.89366968
chr10	10035089	22.89385712
chr10	10035873	22.89392998
chr10	10036996	22.89402666
chr10	10037007	22.89402757
chr10	10047030	22.8948635
chr10	10047222	22.8948804
chr10	10047553	22.89490975
chr10	10050395	22.89513389
chr10	10058132	22.89565057
chr10	10060284	22.89575368
chr10	10060387	22.89575723
chr10	10061060	22.89578476
chr10	10063603	22.89590149
chr10	10064155	22.89592492
chr10	10064434	22.89593655
chr10	10064692	22.89594726
chr10	10064747	22.89594904
chr10	10068681	22.89614194
chr10	10069806	22.89621772
chr10	10070635	22.89629168
chr10	10074217	22.89691096
chr10	10074532	22.89713466
chr10	10074813	22.8975836
chr10	10075766	22.89818248
chr10	10081312	22.90397736
chr10	10082831	22.91093247
chr10	10083714	22.9149017
chr10	10083828	22.9149598
chr10	10085151	22.91618692
chr10	10087083	22.91786652
chr10	10087870	22.91871042
chr10	10088763	22.91967021
chr10	10089595	22.91989904
chr10	10089638	22.9199014
chr10	10090353	22.92007151
chr10	10094354	22.92094437
chr10	10094391	22.92094984
chr10	10094922	22.9210424
chr10	10103096	22.92192391
chr10	10108256	22.92248204
chr10	10113550	22.92317448
chr10	10114575	22.92326687
chr10	10114593	22.92327499
chr10	10117221	22.92661522
chr10	10118048	22.92806489
chr10	10119956	22.93329321
chr10	10121378	22.94011917
chr10	10122627	23.03845076
chr10	10123589	23.07045903
chr10	10123711	23.07208262
chr10	10124572	23.08636202
chr10	10125170	23.17880309
chr10	10126385	23.21701049
chr10	10126559	23.2170745
chr10	10127037	23.23873203
chr10	10131272	23.37254479
chr10	10134514	23.37755355
chr10	10134843	23.37797099
chr10	10135349	23.37814028
chr10	10135401	23.37815318
chr10	10138125	23.37883069
chr10	10138213	23.37883759
chr10	10138766	23.37894004
chr10	10140706	23.37925237
chr10	10140845	23.37925814
chr10	10141350	23.37930207
chr10	10144498	23.37957958
chr10	10145593	23.37967037
chr10	10146689	23.37977032
chr10	10148657	23.3799599
chr10	10161849	23.38133253
chr10	10174440	23.38313621
chr10	10176479	23.38352866
chr10	10176774	23.38358898
chr10	10177899	23.38373718
chr10	10178175	23.38377366
chr10	10179369	23.38392332
chr10	10182917	23.38432766
chr10	10184156	23.38452802
chr10	10184996	23.38466242
chr10	10186238	23.38495952
chr10	10188239	23.38549892
chr10	10191074	23.38696898
chr10	10198662	23.39114972
chr10	10200852	23.42783066
chr10	10202585	23.43429734
chr10	10202939	23.43448804
chr10	10204315	23.43522196
chr10	10204787	23.43543732
chr10	10204813	23.43544632
chr10	10211648	23.43879095
chr10	10211674	23.43879324
chr10	10212464	23.43907716
chr10	10215417	23.44020122
chr10	10216344	23.44108991
chr10	10217339	23.44212452
chr10	10219758	23.4819642
chr10	10219789	23.48253318
chr10	10223673	23.48452086
chr10	10228122	23.48693379
chr10	10228462	23.48715084
chr10	10228683	23.49774343
chr10	10228717	23.49774861
chr10	10228833	23.49776641
chr10	10229200	23.54261383
chr10	10231160	23.55763756
chr10	10232167	23.56959575
chr10	10232597	23.5734189
chr10	10232670	23.57342128
chr10	10233672	23.57373331
chr10	10233987	23.5738068
chr10	10234034	23.57381972
chr10	10235016	23.57398056
chr10	10238310	23.57463816
chr10	10238757	23.57472631
chr10	10238968	23.57476737
chr10	10239358	23.57482907
chr10	10244595	23.5762886
chr10	10252046	23.5785636
chr10	10256379	23.57956988
chr10	10260977	23.58090525
chr10	10263863	23.58164891
chr10	10268433	23.58314042
chr10	10268690	23.58322311
chr10	10270157	23.58359581
chr10	10270328	23.58362287
chr10	10270400	23.58363144
chr10	10277462	23.58731999
chr10	10277565	23.58733171
chr10	10278229	23.59171653
chr10	10279931	23.60728673
chr10	10280843	23.61724142
chr10	10280981	23.6172475
chr10	10283770	23.6246335
chr10	10288171	23.6395956
chr10	10289033	23.6473112
chr10	10289903	23.71044991
chr10	10290510	23.94870245
chr10	10291535	23.95244076
chr10	10291916	23.95276402
chr10	10296280	23.96952082
chr10	10296338	23.96966602
chr10	10296542	23.96977482
chr10	10297019	23.97044555
chr10	10300299	23.97462819
chr10	10301536	23.97542337
chr10	10302353	23.97608685
chr10	10304657	23.97796404
chr10	10308481	23.97963059
chr10	10310956	23.98048944
chr10	10313758	23.98133417
chr10	10313932	23.98136774
chr10	10314043	23.98138947
chr10	10314293	23.9814627
chr10	10317351	23.98240774
chr10	10318748	23.98283127
chr10	10318853	23.98286504
chr10	10320084	23.98316556
chr10	10320197	23.98318172
chr10	10324065	23.98404525
chr10	10324451	23.98413194
chr10	10325126	23.98429755
chr10	10336125	23.9872153
chr10	10336257	23.98724795
chr10	10339618	23.98896375
chr10	10342872	23.9905808
chr10	10344455	23.99133846
chr10	10350267	23.99437526
chr10	10350286	23.9943826
chr10	10350325	23.99439422
chr10	10350358	23.99440403
chr10	10350515	23.99442893
chr10	10350847	23.99465659
chr10	10351373	23.99498617
chr10	10351597	23.9951124
chr10	10357559	23.99873815
chr10	10361880	24.0004782
chr10	10364595	24.00101796
chr10	10369934	24.00204889
chr10	10374200	24.00286908
chr10	10374578	24.0029361
chr10	10374674	24.00295218
chr10	10376110	24.00342167
chr10	10378335	24.00428191
chr10	10379072	24.00530884
chr10	10379527	24.00597634
chr10	10379631	24.00604145
chr10	10380050	24.0066032
chr10	10380715	24.00773764
chr10	10382105	24.00892766
chr10	10389741	24.01364673
chr10	10398403	24.01712394
chr10	10398562	24.01712464
chr10	10404535	24.01863603
chr10	10411961	24.02221469
chr10	10412600	24.0224913
chr10	10415130	24.02391026
chr10	10425015	24.03010406
chr10	10425085	24.03013635
chr10	10433548	24.0400747
chr10	10442925	24.05115582
chr10	10443215	24.05341188
chr10	10443474	24.05892198
chr10	10445760	24.0689955
chr10	10445814	24.06900772
chr10	10448081	24.0705727
chr10	10449371	24.07154137
chr10	10453709	24.07428182
chr10	10454072	24.07457591
chr10	10454200	24.07458137
chr10	10454865	24.0749293
chr10	10456952	24.07605098
chr10	10457515	24.07656379
chr10	10460551	24.07927843
chr10	10463564	24.0827127
chr10	10464110	24.09748313
chr10	10467801	24.15270868
chr10	10473164	24.21168971
chr10	10475120	24.21490392
chr10	10476082	24.2162191
chr10	10476141	24.21622452
chr10	10477315	24.21669478
chr10	10483193	24.21866909
chr10	10483300	24.2186905
chr10	10484218	24.21898682
chr10	10484282	24.2189882
chr10	10487396	24.21949804
chr10	10490049	24.21987119
chr10	10492803	24.22045394
chr10	10496223	24.22097853
chr10	10500863	24.22215595
chr10	10503207	24.22268373
chr10	10507767	24.2250561
chr10	10508099	24.22525285
chr10	10511335	24.22734202
chr10	10512402	24.22790064
chr10	10512847	24.22809461
chr10	10513853	24.22891275
chr10	10513913	24.22891459
chr10	10520289	24.23068124
chr10	10521358	24.23106075
chr10	10526778	24.23508291
chr10	10528298	24.24753961
chr10	10528375	24.24758158
chr10	10529379	24.24961288
chr10	10529649	24.24992282
chr10	10532123	24.25662506
chr10	10536787	24.25827883
chr10	10536817	24.25828315
chr10	10539802	24.258941
chr10	10543257	24.25940692
chr10	10543684	24.25945192
chr10	10544772	24.25956874
chr10	10546864	24.25976891
chr10	10550619	24.2600257
chr10	10554313	24.26027696
chr10	10554605	24.26029457
chr10	10554633	24.26029579
chr10	10555398	24.26033907
chr10	10556981	24.26043294
chr10	10557649	24.26047031
chr10	10561481	24.26068249
chr10	10562319	24.26077915
chr10	10562364	24.26078414
chr10	10564812	24.26112639
chr10	10567351	24.26156854
chr10	10568976	24.26192902
chr10	10570818	24.26262582
chr10	10572731	24.26362399
chr10	10578477	24.26912312
chr10	10579600	24.26990514
chr10	10580170	24.27043383
chr10	10582223	24.34064049
chr10	10582857	24.35437522
chr10	10586348	24.37691805
chr10	10586500	24.37696461
chr10	10589633	24.3931484
chr10	10589801	24.39320194
chr10	10592470	24.39652412
chr10	10592603	24.39660869
chr10	10592683	24.39678165
chr10	10592919	24.39691584
chr10	10594331	24.39751765
chr10	10595764	24.39812361
chr10	10596223	24.39828041
chr10	10597879	24.3989422
chr10	10598892	24.40017998
chr10	10599155	24.40073254
chr10	10599651	24.40241157
chr10	10600195	24.40380643
chr10	10602067	24.41053051
chr10	10603788	24.41208161
chr10	10604429	24.41231289
chr10	10605433	24.41279078
chr10	10606266	24.41363012
chr10	10606688	24.41396239
chr10	10606946	24.41415479
chr10	10606976	24.41425678
chr10	10607016	24.4143227
chr10	10607165	24.41473287
chr10	10608856	24.41570846
chr10	10609072	24.4157712
chr10	10609125	24.41578344
chr10	10609851	24.41594254
chr10	10609972	24.41596202
chr10	10610870	24.41614672
chr10	10610886	24.41614847
chr10	10612757	24.4164163
chr10	10613267	24.41652675
chr10	10614500	24.41683056
chr10	10614898	24.41696324
chr10	10620443	24.41910201
chr10	10621699	24.41941596
chr10	10621770	24.41942157
chr10	10622412	24.41963131
chr10	10622534	24.41964404
chr10	10624052	24.4202002
chr10	10624740	24.42047829
chr10	10625291	24.42071202
chr10	10626295	24.42118753
chr10	10626569	24.42884766
chr10	10626639	24.43565138
chr10	10626841	24.51183625
chr10	10627033	24.5186449
chr10	10627512	24.52744649
chr10	10628711	24.54445155
chr10	10631958	24.55169498
chr10	10633033	24.55381163
chr10	10633404	24.55413844
chr10	10634370	24.55495113
chr10	10635470	24.55530804
chr10	10635994	24.55548237
chr10	10636431	24.55586845
chr10	10637076	24.5564116
chr10	10637405	24.55652468
chr10	10637490	24.55653041
chr10	10641866	24.55770327
chr10	10642452	24.55782505
chr10	10645056	24.57476253
chr10	10645772	24.57483713
chr10	10647167	24.57498322
chr10	10649223	24.57519551
chr10	10649584	24.57523489
chr10	10650975	24.57538869
chr10	10653609	24.57567499
chr10	10655422	24.57586998
chr10	10655440	24.57586998
chr10	10655558	24.5758762
chr10	10655743	24.57588982
chr10	10655967	24.5759052
chr10	10656314	24.57592908
chr10	10656491	24.57594722
chr10	10656600	24.57595938
chr10	10658236	24.57612126
chr10	10658953	24.57619493
chr10	10659233	24.57622422
chr10	10663129	24.57672922
chr10	10663433	24.57675879
chr10	10664129	24.5768284
chr10	10664744	24.57688637
chr10	10665579	24.57697177
chr10	10666140	24.57707496
chr10	10668401	24.57745822
chr10	10668496	24.57746919
chr10	10668690	24.57750308
chr10	10668727	24.5775077
chr10	10668874	24.57755923
chr10	10669241	24.57774212
chr10	10669303	24.57781973
chr10	10669420	24.57790565
chr10	10669490	24.57795733
chr10	10670880	24.59490117
chr10	10672427	24.6495247
chr10	10672634	24.64981605
chr10	10677216	24.65978307
chr10	10677649	24.66039596
chr10	10678282	24.6611159
chr10	10678842	24.66175262
chr10	10682521	24.665945
chr10	10682982	24.66618055
chr10	10684833	24.66902146
chr10	10685374	24.66925795
chr10	10687678	24.66966802
chr10	10687728	24.66967258
chr10	10688587	24.66979177
chr10	10690395	24.67006567
chr10	10690539	24.67007231
chr10	10690804	24.67010432
chr10	10690895	24.67012714
chr10	10692189	24.6704792
chr10	10692671	24.67061588
chr10	10694800	24.6710418
chr10	10695073	24.67110083
chr10	10695457	24.67116925
chr10	10696357	24.67127051
chr10	10697182	24.67135159
chr10	10698148	24.67149522
chr10	10698562	24.6715634
chr10	10699411	24.67165488
chr10	10703943	24.67266165
chr10	10704004	24.67267445
chr10	10705682	24.67278238
chr10	10706611	24.67283963
chr10	10708938	24.67298642
chr10	10710179	24.67306085
chr10	10711607	24.67316977
chr10	10712073	24.6732036
chr10	10712086	24.67320418
chr10	10713082	24.67328862
chr10	10713248	24.67329088
chr10	10719044	24.67367924
chr10	10720879	24.6738949
chr10	10723784	24.67577247
chr10	10726091	24.67696752
chr10	10728367	24.67772345
chr10	10729022	24.67782335
chr10	10729608	24.67791328
chr10	10731046	24.67812235
chr10	10731991	24.6782137
chr10	10739425	24.67919314
chr10	10740042	24.67927729
chr10	10744329	24.68071456
chr10	10744415	24.68072457
chr10	10747188	24.6814984
chr10	10747284	24.6815305
chr10	10747950	24.68169001
chr10	10750456	24.68203586
chr10	10758331	24.68357891
chr10	10760806	24.68449959
chr10	10760827	24.6845044
chr10	10762664	24.68508953
chr10	10763688	24.68540678
chr10	10765469	24.68595209
chr10	10765693	24.68602442
chr10	10766317	24.68609362
chr10	10768082	24.68628048
chr10	10769867	24.68647974
chr10	10771475	24.68665886
chr10	10771654	24.68667505
chr10	10771683	24.68667736
chr10	10771787	24.68668503
chr10	10772073	24.6867159
chr10	10772118	24.68671924
chr10	10779390	24.68762668
chr10	10779622	24.68767363
chr10	10782335	24.68827685
chr10	10783962	24.68869069
chr10	10785778	24.68909838
chr10	10791088	24.69066118
chr10	10791882	24.69092769
chr10	10792539	24.69130604
chr10	10793519	24.69208685
chr10	10795600	24.69268962
chr10	10796744	24.69301515
chr10	10800908	24.69511698
chr10	10805921	24.71894671
chr10	10810026	24.72768137
chr10	10812037	24.73024999
chr10	10813761	24.73239145
chr10	10814830	24.73674523
chr10	10815964	24.82169072
chr10	10815999	24.82170023
chr10	10816149	24.82171056
chr10	10817091	24.83391743
chr10	10817345	24.83441338
chr10	10817888	24.83552233
chr10	10817972	24.83563437
chr10	10819429	24.83713373
chr10	10820901	24.83968898
chr10	10821563	24.84016043
chr10	10825445	24.8631334
chr10	10828033	24.978451
chr10	10829596	24.98671399
chr10	10831433	25.0055732
chr10	10831456	25.00557414
chr10	10834907	25.00727734
chr10	10836777	25.00795211
chr10	10837257	25.00814248
chr10	10840163	25.00973985
chr10	10840199	25.00974541
chr10	10840896	25.0099891
chr10	10841136	25.01011407
chr10	10841167	25.01013114
chr10	10841248	25.0101748
chr10	10846395	25.03511917
chr10	10846632	25.03521682
chr10	10851217	25.03708075
chr10	10852794	25.03765995
chr10	10857665	25.03936708
chr10	10858093	25.03956889
chr10	10858380	25.03989486
chr10	10858490	25.03989504
chr10	10860364	25.04059966
chr10	10861174	25.04091805
chr10	10867688	25.04316097
chr10	10872947	25.0443956
chr10	10874909	25.04489982
chr10	10882645	25.04697797
chr10	10886410	25.0478103
chr10	10887941	25.04803085
chr10	10888961	25.04817013
chr10	10890264	25.04836945
chr10	10890549	25.04842304
chr10	10893298	25.04886101
chr10	10893354	25.04886561
chr10	10895303	25.04965785
chr10	10898709	25.05710789
chr10	10898742	25.05710976
chr10	10899864	25.05820935
chr10	10901269	25.05856354
chr10	10901411	25.05859949
chr10	10910247	25.06006608
chr10	10914414	25.06065949
chr10	10914541	25.06066186
chr10	10914809	25.0607145
chr10	10915244	25.0608007
chr10	10918073	25.06137361
chr10	10918172	25.06138538
chr10	10922507	25.06225363
chr10	10923699	25.06247022
chr10	10925888	25.06282334
chr10	10926250	25.06286488
chr10	10926420	25.06286763
chr10	10927351	25.06309243
chr10	10928530	25.06345042
chr10	10932614	25.0649075
chr10	10933323	25.06516794
chr10	10937435	25.06589152
chr10	10937863	25.06596906
chr10	10941199	25.06667706
chr10	10944096	25.06736492
chr10	10952891	25.06961677
chr10	10954509	25.06994959
chr10	10954899	25.07018539
chr10	10957127	25.07137698
chr10	10957957	25.07389257
chr10	10958109	25.07390596
chr10	10959999	25.07460006
chr10	10962074	25.07520882
chr10	10962134	25.07521498
chr10	10962983	25.07743785
chr10	10964060	25.08668148
chr10	10964615	25.08847563
chr10	10964675	25.08850989
chr10	10966217	25.08929122
chr10	10967550	25.08952315
chr10	10968479	25.08968421
chr10	10970216	25.09001317
chr10	10976617	25.09118482
chr10	10980199	25.09172877
chr10	10980362	25.09175339
chr10	10980476	25.09175649
chr10	10982927	25.10503582
chr10	10983554	25.10524686
chr10	10985357	25.1056127
chr10	10985561	25.10566127
chr10	10985868	25.10574533
chr10	10986616	25.10592991
chr10	10986909	25.10599796
chr10	10987283	25.10629804
chr10	10987295	25.10630471
chr10	10988229	25.10729008
chr10	10991624	25.17001089
chr10	10992210	25.17369213
chr10	10992313	25.17387374
chr10	10992859	25.1765339
chr10	10993357	25.1774336
chr10	10993825	25.17769608
chr10	10994241	25.17798299
chr10	10996226	25.1792211
chr10	10997996	25.18094212
chr10	10998527	25.18146776
chr10	11001762	25.18307591
chr10	11003545	25.18379221
chr10	11004494	25.18416486
chr10	11004978	25.18441038
chr10	11005009	25.18442074
chr10	11005555	25.18464512
chr10	11008130	25.18597333
chr10	11008639	25.18644093
chr10	11009229	25.18902161
chr10	11013322	25.20525584
chr10	11014262	25.4165473
chr10	11017607	25.48376788
chr10	11018272	25.48546939
chr10	11022416	25.48828142
chr10	11022652	25.48848483
chr10	11024729	25.4906415
chr10	11025322	25.4909581
chr10	11032871	25.49284893
chr10	11033832	25.49305035
chr10	11034165	25.4934042
chr10	11034814	25.49410632
chr10	11037319	25.49750621
chr10	11040345	25.49856208
chr10	11042516	25.49882431
chr10	11042809	25.49886009
chr10	11045710	25.49919264
chr10	11051336	25.50044064
chr10	11056082	25.50298962
chr10	11057026	25.50311637
chr10	11062452	25.50407526
chr10	11064755	25.50440202
chr10	11077499	25.50914505
chr10	11081973	25.51044051
chr10	11086178	25.5112757
chr10	11087569	25.51152573
chr10	11088270	25.51160549
chr10	11088338	25.51160872
chr10	11089983	25.51174693
chr10	11093055	25.5120439
chr10	11093149	25.51204563
chr10	11095595	25.5126728
chr10	11099561	25.51543069
chr10	11104247	25.53217406
chr10	11105422	25.53273343
chr10	11107078	25.53326419
chr10	11109544	25.53366122
chr10	11114552	25.53523084
chr10	11115139	25.53572231
chr10	11116880	25.54005676
chr10	11118396	25.54393692
chr10	11119172	25.54471555
chr10	11121953	25.54862065
chr10	11122018	25.54862867
chr10	11122198	25.54866148
chr10	11126447	25.54936876
chr10	11127869	25.54956039
chr10	11128017	25.54961653
chr10	11128927	25.54991499
chr10	11129149	25.54995293
chr10	11130399	25.55018017
chr10	11130491	25.55019352
chr10	11130643	25.55021554
chr10	11130923	25.55026093
chr10	11131168	25.55028064
chr10	11131331	25.55029328
chr10	11132226	25.55036059
chr10	11132318	25.55036699
chr10	11133227	25.55063521
chr10	11133711	25.55067191
chr10	11137518	25.55096291
chr10	11137618	25.55096982
chr10	11137922	25.55098867
chr10	11139364	25.55107448
chr10	11141282	25.55119171
chr10	11141632	25.55122116
chr10	11141688	25.55122424
chr10	11141913	25.55123759
chr10	11144678	25.55141316
chr10	11145851	25.55147995
chr10	11147658	25.55158715
chr10	11147930	25.55160395
chr10	11148383	25.55163025
chr10	11149083	25.55167082
chr10	11150068	25.55170274
chr10	11150129	25.55170808
chr10	11150201	25.55171326
chr10	11152680	25.55194664
chr10	11153628	25.55203473
chr10	11155096	25.55217337
chr10	11155854	25.5522808
chr10	11156731	25.55251931
chr10	11157568	25.55275085
chr10	11157612	25.55275571
chr10	11157702	25.55277756
chr10	11159525	25.55337369
chr10	11159615	25.55337441
chr10	11162641	25.55373712
chr10	11163170	25.55380109
chr10	11163271	25.55381331
chr10	11164837	25.55399572
chr10	11165168	25.55401517
chr10	11165886	25.55406952
chr10	11168479	25.55428827
chr10	11170802	25.55454756
chr10	11171181	25.55458373
chr10	11171558	25.55466015
chr10	11172196	25.56407704
chr10	11172674	25.57856357
chr10	11173125	25.58850115
chr10	11173829	25.58864808
chr10	11175698	25.58896647
chr10	11175840	25.58898044
chr10	11176008	25.58899695
chr10	11176509	25.5890365
chr10	11178054	25.58916488
chr10	11180230	25.58932407
chr10	11181411	25.58940622
chr10	11181432	25.58940698
chr10	11182603	25.58955402
chr10	11182733	25.5895634
chr10	11183287	25.58969334
chr10	11183773	25.58981005
chr10	11183829	25.58982219
chr10	11185275	25.59024975
chr10	11187872	25.59110886
chr10	11190937	25.59272195
chr10	11194170	25.59364525
chr10	11194327	25.59367328
chr10	11195338	25.59389292
chr10	11196121	25.5940308
chr10	11196405	25.59408243
chr10	11196478	25.59409315
chr10	11197462	25.59428164
chr10	11200107	25.59481432
chr10	11201984	25.59518863
chr10	11202793	25.59538842
chr10	11203857	25.5958237
chr10	11203895	25.59582634
chr10	11204002	25.59582919
chr10	11204367	25.59642777
chr10	11204644	25.59698335
chr10	11206461	25.64433796
chr10	11206808	25.65692547
chr10	11207630	25.68484038
chr10	11207811	25.68487898
chr10	11208105	25.68517077
chr10	11208737	25.68539214
chr10	11213309	25.68704735
chr10	11213597	25.68709921
chr10	11214783	25.68732088
chr10	11216656	25.68760444
chr10	11217021	25.68763637
chr10	11219453	25.68787741
chr10	11219955	25.68793216
chr10	11220597	25.68800296
chr10	11224214	25.68838061
chr10	11225151	25.68848618
chr10	11232169	25.68929582
chr10	11232461	25.68934184
chr10	11233957	25.68957983
chr10	11235348	25.68995796
chr10	11236375	25.69026419
chr10	11236492	25.6903007
chr10	11237083	25.69048776
chr10	11237680	25.69068099
chr10	11237851	25.69074366
chr10	11239820	25.71385292
chr10	11239880	25.71385442
chr10	11245230	25.71562461
chr10	11245725	25.71573051
chr10	11246287	25.71586009
chr10	11246354	25.71586461
chr10	11249008	25.71766701
chr10	11254224	25.72181622
chr10	11254264	25.72182469
chr10	11255317	25.72209954
chr10	11255448	25.72210987
chr10	11255952	25.72215653
chr10	11257728	25.72241401
chr10	11258121	25.72247528
chr10	11258586	25.72255016
chr10	11261372	25.72299353
chr10	11263843	25.72336865
chr10	11264671	25.72353542
chr10	11265343	25.72363902
chr10	11266962	25.72381312
chr10	11268839	25.7240038
chr10	11271421	25.72429397
chr10	11271837	25.72434417
chr10	11277515	25.72529782
chr10	11277934	25.72538926
chr10	11278201	25.72543491
chr10	11279082	25.72558339
chr10	11280701	25.72584151
chr10	11282786	25.72618629
chr10	11284585	25.72645191
chr10	11284606	25.72645301
chr10	11286275	25.72837776
chr10	11286343	25.72842687
chr10	11288503	25.72931664
chr10	11288555	25.72931926
chr10	11289202	25.72960783
chr10	11289246	25.7296144
chr10	11291382	25.73040203
chr10	11294602	25.73535937
chr10	11296448	25.73899429
chr10	11297082	25.73971342
chr10	11298818	25.74163942
chr10	11303210	25.74576651
chr10	11304647	25.7485924
chr10	11305362	25.7493647
chr10	11311934	25.7555944
chr10	11314578	25.75853468
chr10	11315381	25.7592378
chr10	11315769	25.7596121
chr10	11315930	25.75964476
chr10	11317619	25.76279738
chr10	11322828	25.78050008
chr10	11323831	25.78359789
chr10	11324270	25.78694816
chr10	11327068	25.79868927
chr10	11328424	25.80025085
chr10	11330357	25.80343736
chr10	11331003	25.80420572
chr10	11331629	25.80487914
chr10	11331663	25.80490667
chr10	11331769	25.80499175
chr10	11332805	25.80673855
chr10	11332978	25.80686631
chr10	11333784	26.04227979
chr10	11333951	26.04229457
chr10	11334864	26.16055123
chr10	11336012	26.17823062
chr10	11336732	26.1922985
chr10	11336845	26.19230785
chr10	11337315	26.23580576
chr10	11337608	26.23895754
chr10	11337717	26.2390019
chr10	11338358	26.24606625
chr10	11340442	26.24873895
chr10	11342169	26.25127688
chr10	11342351	26.25158524
chr10	11342677	26.25249323
chr10	11343765	26.25372641
chr10	11346427	26.26155939
chr10	11348304	26.2705182
chr10	11352048	26.28049855
chr10	11353150	26.28651035
chr10	11354775	26.30915938
chr10	11355119	26.30958261
chr10	11355308	26.3097859
chr10	11356993	26.31175528
chr10	11357263	26.31196399
chr10	11357363	26.31197696
chr10	11358819	26.31287
chr10	11359250	26.31299728
chr10	11359330	26.31301258
chr10	11360628	26.31336056
chr10	11367291	26.31516242
chr10	11369659	26.31618407
chr10	11370554	26.32499638
chr10	11371412	26.32648306
chr10	11374684	26.36439769
chr10	11375080	26.36460814
chr10	11377324	26.36549649
chr10	11377689	26.36560318
chr10	11377994	26.36568948
chr10	11379015	26.36600285
chr10	11381602	26.36776254
chr10	11382607	26.36812659
chr10	11382893	26.36828712
chr10	11385053	26.36999926
chr10	11385351	26.370156
chr10	11385712	26.3718433
chr10	11388629	26.47988532
chr10	11389598	26.48978823
chr10	11395437	26.495016
chr10	11395678	26.49517975
chr10	11396166	26.49543492
chr10	11397516	26.49629767
chr10	11398385	26.4969189
chr10	11399475	26.497687
chr10	11400679	26.4981265
chr10	11402323	26.49851769
chr10	11403741	26.49903889
chr10	11403817	26.49905213
chr10	11407453	26.49972708
chr10	11409256	26.50009161
chr10	11409788	26.50018302
chr10	11409876	26.50019383
chr10	11414357	26.50132352
chr10	11415665	26.50175877
chr10	11417005	26.5023675
chr10	11417477	26.50263355
chr10	11423030	26.51015754
chr10	11424126	26.51145672
chr10	11427333	26.51415266
chr10	11428296	26.5149615
chr10	11428359	26.52139294
chr10	11428849	26.56103371
chr10	11429406	26.56360162
chr10	11432673	26.57777279
chr10	11433195	26.57927369
chr10	11433879	26.58112624
chr10	11434162	26.5815229
chr10	11434815	26.58240473
chr10	11435217	26.58277159
chr10	11435230	26.58277839
chr10	11435518	26.58292249
chr10	11435895	26.58315542
chr10	11436158	26.58362106
chr10	11436960	26.59035943
chr10	11437758	26.65624307
chr10	11438302	26.65669282
chr10	11442053	26.65928301
chr10	11445296	26.6600142
chr10	11451791	26.66208181
chr10	11452059	26.66215394
chr10	11454188	26.66269088
chr10	11454821	26.66283698
chr10	11456818	26.66434725
chr10	11457032	26.66458903
chr10	11457615	26.6661516
chr10	11459744	26.6723123
chr10	11460985	26.68742608
chr10	11462402	26.69685563
chr10	11462437	26.6968602
